status_id,status_message
182928775083239_1255419524500820,"Oh my goodness...watch this. Can't wait for it to come out.
btw, guess who is featured in this!!?? Watch...

And if you are a Hans Zimmer fan...well, he composed the music.

https://www.youtube.com/watch?v=c8aFcHFu8QM"
182928775083239_1253449278031178,"It was great to see so many families and neighbours gather at the zoo on a cool shady Sunday morning. I joined our residents and friends from Aljunied GRC and Hougang SMC at their One Community Fiesta, Family Fun Time@Zoo. Fun it certainly was! We had an Amazing Race where we paired new citizen families with Singaporean families, traditional games stalls, art competition, and of course some makan!

The idea is to strengthen family ties through spending more family time, and encourage new friendships to be forged between neighbours and fellow residents. 

Thanks too to Victor Lye Thiam Fatt 赖添发, Chua Eng Leong, Chan Hui Yuh, Yeo Guat Kwang, Josephus Tan, Lee Hong Chuan for being there with their residents. 

#FamiliesforLife #DadsforLife #FamilyMatters"
182928775083239_1252698364772936,"Song to listen to when you lepak...""Babe...mari kita lepak...babe.""

Ran out of battery. But there was also a song on floods and water entering the house, and a song on 'relak brudder'... quite eclectic!"
182928775083239_1252692368106869,Special guest...Art Fazil 😄 Singing while results are being compiled!
182928775083239_1252673511442088,"Satu lagi...! Last group for the day before prizes are awarded.

Guest singer coming up...guess who?!

Kampong Ubi Community Centre"
182928775083239_1252661788109927,"Dikir Barat Championship 2016!
Starting at 0900hrs this Sunday morning, about 17 groups performed to a constantly full auditorium. Really great to see so many young people taking delight in this traditional art form!

At Kampong Kampong Ubi Community Centre"
182928775083239_1251714344871338,"Our city skyline from Pan Pacific Hotel. Just had a short meeting with Chairman of RHB and caught this beautiful sight as I stepped into the external glass lift. 

#SGSunset #Sunset #OurSG"
182928775083239_1250936214949151,"The lights are lit and the door beckons...

To all our Hindu friends, Happy Deepavali!

And actually, Jains, Sikhs and some Buddhists also commemorate the night in different ways...so greetings to our Singaporean Jains, Sikhs and Buddhists too! 

And for the rest of us, let's learn a little more about the other beliefs and to also have a restful weekend with our loved ones and friends."
182928775083239_1250874748288631,"#YNWA. Charity Dinner for Singapore Anglican Community Services and St Andrew's Mission Hospital. SACS and SAMH have been serving our community for 49 and 103 years respectively.

SAMH has been appointed by the Ministry of Health to be the operator of two nursing homes, in Henderson and Queenstown, targeted to be operational by 2017. The third Home at Dover Avenue, an initiative of St. John’s - St. Margaret’s Church, in collaboration with SAMH, is expected to be operational by early 2020. All three nursing homes will provide integrated residential, centre-based and home care services, together with a co-located senior care centre.

SACS Psychiatric Services turns 30 this year, and it will embark on a new service milestone as it has recently been appointed by MOH to operate a shelter home for persons recovering from mental health issues.

Thank you all for your service and to the community for your support. On our part in the Government, we will continue to play a significant role in supporting the good work done here. It involves all of us."
182928775083239_1249943781715061,"Perception.

#SeetheTrueMe"
182928775083239_1248820538494052,Wow! Thumbs up guys! Keep the ball rolling!
182928775083239_1248325645210208,"Our K2 graduating students at Bethesda Frankel Estate and Katong Kindergarten pledging ""I Would be True"".

Grateful to the teachers for their love and care. 

And most importantly, it is wonderful to see the parents being here on their special day. May this be another one of many precious moments where you will be there with your children. 

My main message:
- appreciate and respect our teachers and work with them
- for those with a capacity to love more, do consider volunteering to help in out outreach to children from less privileged backgrounds
- spend time with our children...just spend time where we can, as much as we can.

Families for Life FamilyMatters! DadsforLife.sg #FamiliesforLife #FamilyMatters #DadsforLife"
182928775083239_1247926048583501,"Nearly 160 tables here at Tien Sen Tua Temple Annual Celebration Prosperity Banquet to commemorate “Bao Gong"". Despite the weather, a fantastic turnout here! In fact, it's a very comfortable cool climate right now 👍 

Very different from the earlier President's Challenge Social Enterprise Corporate Networking Dinner, but in many ways, each serving the community in different ways. 

Different cultures, practices. But still #OneSingapore"
182928775083239_1247910825251690,"Visited the team at Care Corner Centre for Co-Parenting (CCP) last week, and spent an enlightening morning listening to personal accounts on the child-centric programmes to help children cope with their parents’ divorce.
 
We prefer to keep marriages strong and intact, and have put in place programmes to help in that area. But try as we might, marriages will break down and when it does, we want to ensure that the children are not hurt in the process. The counsellors and case workers at CCP are committed to helping the children cope but unfortunately, they have been at the receiving end of negative and angry outbursts from some parents over child access issues.   Like the rest of the four MSF appointed Divorce Support Specialist Agencies, they really do understand and empathise with their clients’ pain and grief, as they strive to be the voice for the children caught in between their parents’ acrimony.
 
I thank the teams at the CCP and Divorce Support Specialist Agencies for their hard work and dedication, and for being the pillar of support to these families as they journey through difficult life events such as divorce."
182928775083239_1247090292000410,"Every month, we have a legal clinic to assist our residents who may have legal concerns and issues. It ranges from the simple to the complex. Our volunteers certainly try to provide what help they can. I am deeply appreciative of their time and expertise. Some have also begun helping in other areas. We also have law students who come by too. As they operate in teams, this certainly provides a practical hands-on lesson opportunity as well. 
Tim just came from training and I was pleasantly surprised to see him here with the others. 
Early night this Monday. Thank you all for your precious time after work or school! ❤️️👍

https://instagram.com/p/BL8wQ4UDHRz/

#MPSMondays"
182928775083239_1245977438778362,"BREAKING NEWS! Darth Vader unveiled. Here is a pic with my boss, Lord Vader in casual clothes. You can tell that he's the man cos he makes all the rules! 😁

And no. He's not my son so none of us can say ""I'm your father...nooooooooooo!"""
