status_id,status_message
496904023672427_1454994131196740,"A Happy Deepavali to all Hindus, and to everyone who celebrates and loves Singapore’s diversity!

Garuda, the mythical half-eagle, half-human creature, is one of those interesting features of Hindu legend that can be found all around Asia. It was absorbed into Buddhist tradition, which is how it made its way to China and Japan. And through both Hinduism and Buddhism, it came to Southeast Asia. The Garuda is today the national emblem of both Indonesia and Thailand. 

It became part of Indonesia’s local traditions from ancient times, and was chosen as the symbol of Pancasila, Indonesia’s unifying national ideology after it gained independence. In Thailand, Garuda was the symbol of royalty for centuries. A less well known fact: the Garuda is also the official symbol of Ulan Bator, the capital of Mongolia, where it is called Khan Garuda.

It’s just another example of how our Asian traditions were woven into each other. Each of our cultures is distinct, with its own beliefs, practices and colours. But every culture has in fact borrowed extensively from others over the centuries. 

Garuda, which comes from the Sanskrit language, became Karura in Japanese Buddhism and art. In Thailand it became Khrut, in Cambodia Kruth. In both countries, like in Indonesia, Garuda refers to the half-eagle creature that fought evil and carried the god Vishnu, drawing from the epic Mahabharata story. 

A bit more information for those who are interested. Garuda is actually one of the three half-animal deities in Hindu mythology that found their way into many  Asian societies, as cultures flowed into each other. The other two are Ganesh, the elephant-headed deity, and Hanuman, the monkey god. (Ganesh is better known as Vinayaka amongst Buddhists.) 

The photo shows a Javanese version of Garuda, which people are more familiar with in our part of the world."
496904023672427_1404770669552420,"Selamat Hari Raya Haji to all our Muslim friends, and wishing we keep our peace and friendships and keep deepening multiculturalism in Singapore!

Muslim volunteers perform the sacrificial slaughtering of sheep at our mosques after the congregational prayers in the morning. The meat is distributed to relatives, neighbours and especially the needy. It's a reminder to share one's blessings with others.

The Malay name that we use for this holiday, Hari Raya Haji, comes from the fact that it occurs on the culmination of the Haj, or pilgrimage to Mecca. The Tamil Muslims say Haji Perunāl. The Arabic name refers to the act of sacrifice - Eid al-Adha, or Feast of the Sacrifice. Locally too, it is now common to say Hari Raya Eiduladha."
496904023672427_1404235689605918,"3 of our 13 Singapore Paralympians. They show us. How anything can be achieved, with grit, training and ambition, no matter what life throws at us. They each had the  support of their families, coaches and our sports associations, but it is their mental courage that has brought them to Rio.

In the middle: Yip Pin Xiu, after winning the 100m backstroke (S2), breaking her own world record for the distance and setting another for the first 50m. Pin Xiu started swimming at 5, and won her first gold in the Beijing Paralympics in 2008. She took a year off from her studies to focus on Rio. She has muscular dystrophy, and very weak eyesight – she has myopia and her left eye’s optic nerves have been damaged by her muscular dystrophy.

On the right: Norsilawati Sa’at, who achieved a personal best time and finished fifth in the 400m T5S finals. She will be competing next in the 100m, which is her favoured distance. Norsilawati was badly injured in a road accident in 15 years ago, fracturing her spine and leaving her without use of her legs. Now 39, she’s determined to carry on. 

On the left: Nur Syahidah Binte Alim, who has advanced to the next round in archery (Individual Compound Open) on 16 September. Syahidah has cerebral palsy. Like Norsilawati, it’s her first time at the Paralympics."
496904023672427_1381289975233823,"Mr S R Nathan (3 July 1924 – 22 August 2016). 

What a life he led! From the time he ran away from home at 16, to his early job as a clerk in Muar, then as medical social worker, later unionist serving the seafarers, through a life of public service: culminating as President of the nation he was utterly devoted to.  
 
I have met few people who lived and breathed Singapore the way he did. His fondness for friends of every race and from all walks of life.  His complete absence of airs. His love of food. And his remarkable memory of events in our history, small and big, and of everyone he had met along the way. 
 
He was active to the end, and never lost his human touch. Just in the last few months, he was sending letters to me and others with his sharp observations and advice on various issues, and always in his beautiful hand-writing.  When I last saw him at his home, for lunch, he was in a mellow mood. He had recalled that I had liked the sambal udang the last time we had lunch, and made sure it was served again.
 
We can never forget S R Nathan, his love of life, and his immense contributions to the nation he was devoted to."
496904023672427_1380184205344400,"Get a good rest, PM! 

PM gave everyone a scare this evening, when he felt unsteady during his National Day Rally speech and had to take a break. He had been standing for a long time, and was dehydrated. But he eventually came back to a standing ovation, looking good, and ended his speech on an uplifting note on our future as Singaporeans. He’s got real mental strength. 

The doctors’ immediate assessment is that he is alright, but PM has gone for a full check-up, just to be sure."
496904023672427_1372505902778897,"“I just used to giggle and found that I really liked being in the water.” That’s how it all started, when Colin and May Schooling pushed their 3-year old Joseph under water to get him to learn how to tread water. They also got Vincent Poon to coach him. He taught Joseph to swim, to be fearless, and as Colin Schooling recalls, to have the hunger to win. Vincent himself remembers how, when Joseph started winning easily, he made him start 10 seconds after the others, and to race against bigger kids  - so that he would sometimes lose, and had to fight harder. But Vincent’s own life story is also something.
 
Vincent taught himself to swim when he was six – in the early 1950s -  at our first public pool - the old Mount Emily swimming pool. When he went to Beatty Secondary School, he became the swimming team captain. Later, he received a long-distance swimming award – he swam more than 20km, non-stop over 12 hours. Vincent was also a serious judoka, obtaining a black belt (second dan). Unfortunately he got seriously injured in a road accident, which gave him a permanent limp. So he decided to become a swimming coach. He read up, taught himself the training techniques, and began coaching at the old Royal Naval Officers’ Club in Woodlands in 1964. Later he moved to Farrer Park Swimming Pool and then Tanah Merah Country Club.
 
Vincent Poon is still coaching at 70. He told The Sunday Times that his heart was beating faster and faster while waiting for Joseph’s finals on TV yesterday. 

His story carries the Singapore spirit.  Find something that we can each be good at. Persevere over the years. Then pass the passion on to the next generation.
 
So from parent to teacher to student, we keep discovering talents in Singapore, give everyone hope, and support them on their own journey of excellence, each in their own way. Who knows, we may even create more Joseph Schoolings.

The photos: Joseph Isaac Schooling in 2004, when he was 9, taken by Willy Foo."
496904023672427_1371241772905310,"He raised us up. Majulah Singapura was just played for the first time in Olympic history.

Joseph Isaac Schooling won the 100m butterly finals, beating the legendary Michael Phelps and world champion Chad Le Clos. And Joseph broke the Olympic record with a time of 50.39 sec. 

Joseph has unusual athletic ability, physical and mental. But he also put huge effort over the years to achieve this. So did his parents, Colin and May Schooling, who have been totally dedicated to supporting his ambition. And congratulations to his coaches over the years, in Singapore and the US. Starting with Vincent Poon, who coached Joseph for 5 years when he was young.

Vincent is still going strong as a coach at age 70. He used to dive underwater to watch the young Joseph and help him improve his technique. So when Joseph's current coach Eddie Reese  -  the former coach of the US Men's Olympic Swimming Team - described Joseph as ""the closest human to a dolphin under water"", Vincent knew how it all began.

(Photo credit: Kevin Lim, The Straits Times)"
496904023672427_1370611179635036,"What a sensation Joseph Isaac Schooling is.
 
Fastest in the 100m butterfly heats.  Fastest in the semi-finals. Fastest time in the world this year. Fastest Asian ever. 

We felt so much pride when the commentator highlighted to the world, immediately after the heats,  that two Singaporeans had qualified for the top 16. That was thanks to Quah Zheng Wen posting his personal best  -  he was not as brawny as the rest, but swam with great style. 

Now Joseph has made it to the finals,  topping the list, and history has been made for our little nation.

Joseph told the media after his semi-final win:  “I feel fine.. It was all about posting a good enough time to get into top eight. And come back tomorrow and try to do it. It’s a good confidence booster but doesn’t really mean anything.”  He’s quite the cool Joe.
 
Don’t miss the finals Saturday at 9.10am Singapore time. 
 
(Photo credit: Kevin Lim, The Straits Times)"
496904023672427_1366892536673567,"Happy National Day to all Singaporeans!
 
“Part of me still wanted to be a football player. Now, I just want to walk again.” 

One of the most heartwarming stories I’ve come across this year: Muhammad Haikal Johari  (on the right of the photo). He’s 39, and works 6 days a week as Executive Chef at Spanish restaurant Alma, which earned a Michelin star last month. Just 10 months ago, Haikal was paralysed from the neck down after a motorbike accident. With daily physiotherapy at NUH, the support of his wife Rafiqah Soh, and sheer will, he’s got back some of the movement in his legs, and can move his hands. He’s also got back his voice. 

Haikal had been chosen by Juan Amador, a world-famous chef who is behind the restaurant. He had worked under Amador in Germany seven years ago. He now watches his team from his wheelchair with an eagle’s eye.  As he describes, “cooking can be done in the head as well. I see and taste everything and watch how things are presented on the plate.”
  
Haikal had begun working again on the restaurant menu while he was warded at NUH’s rehabilitation centre. He was at the restaurant when they heard the news of the Michelin star.  He told his team that it just meant that everyone had to work harder now. Together with chef de cuisine Muhammad Sufian Zaini (on the left), he’s determined to keep the coveted star and if possible add another.

Another interesting thing about Haikal’s life.  He was once a Singapore youth football  team player. But he kept getting ankle injuries, so he was persuaded by his late father to switch to something else. He developed a passion for cooking after going to Shatec, and then learnt the ropes from top chefs in a series of restaurants.
 
“It was a very hard transition for me when I went into cooking. Part of me still wanted to be a football player. Now, I just want to walk again.” And Haikal surely will.
 
(Photo courtesy of Kevin Lim, SPH)"
496904023672427_1343526592343495,25 seconds. What sports are about. It sometimes takes children to tell us.
