status_id,status_message
337546116346785_879202938847764,Thinking of driving into JB? You have less than half a day before you'll have to pay more to enter through Johor Bahru.
337546116346785_878711172230274,Is getting the best grades in school the only way to success?
337546116346785_878655728902485,"Chicken rice from a machine at Changi Airport? 

There's also the ""smart tray return robots"" at Koufu at Punggol Plaza: http://themiddleground.sg/2016/10/30/traffic-concerns-off-road-singapore/"
337546116346785_878607408907317,"Would you like to have 3D maps of major buildings to help you find your way around? 3D maps, combined with radio transmitter positioning, could help us get around - and up and down."
337546116346785_877999005634824,Some of these familiar favourites may cost just $4 per serving. But the recipes that are used to make them can be worth more than a million dollars.
337546116346785_877842718983786,You think the Pen-Pineapple-Apple-Pen is the weirdest song to hit the charts? You ain’t heard nothin’ yet. Felix rounds up his top 10 list of novelty songs for which people actually parted good money to buy.
337546116346785_877779802323411,"Bertha asked TheSmartLocal to let her view its video of young Singaporeans tasting Indian snacks (now made ""private"") to get an idea of why some people were so mad at it."
337546116346785_877694272331964,"The headlines this Sunday morning: The illegal modification of electric bicycles, the need to wider spaces and ramps in car-parks, and the lack of air spaces for the flying of drones in Singapore.

All these and more, in today's #morningcall"
337546116346785_877189682382423,"While you are busy feasting on Indian sweets this Deepavali, have you wondered how they are made? Well here is how."
337546116346785_876952042406187,"Despite the cries of Uberisation and economic disruption, what we're seeing is not new. In fact, Uberisation may have done nothing more than revive an old system of capitalism, known as serfdom."
337546116346785_876842945750430,"Week after week, the G tells us different things: We need more engineers. We need more social workers. We need more healthcare workers. In #AndonSaturday, Felix asks: What does the G really want of us?"
337546116346785_876798532421538,Happy Deepavali! Here is a look at how countries around the world are celebrating the occasion.
337546116346785_876738625760862,"The three-time Olympic medallist finally speaks up about the Singapore Table Tennis Association's decision to drop her from the national squad, and accusations of her misconduct this week. Her statement to the media was in Chinese, so we thought we'd take a stab at translating it into English for you."
337546116346785_876729125761812,So paddler Feng Tianwei and STTA have gone to different news media to tell their side of the story. You wonder what sort of game is being played. Here's the latest:
337546116346785_876449102456481,
337546116346785_876365662464825,
337546116346785_876334802467911,"STTA responds to its Deputy President's comments on Facebook,  says they are his ""personal views"". Also, that Feng Tianwei did not falsify or claim more than what she was permitted.

Why did the association's Deputy President say she did, then? And why didn't STTA speak up when asked about the claims earlier this week?"
337546116346785_876158529152205,Animals at various British zoos are given carved pumpkins to enjoy ahead of the Halloween festival.
337546116346785_875978022503589,"[TMG EXCLUSIVE] Read about the controversy over the STTA's sacking of three-time Olympic medallist Feng Tianwei here:

WHAT HE SAID ON FACEBOOK: http://themiddleground.sg/2016/10/28/sttas-deputy-president-said-feng-tianweis-sacking/

WHAT HE TOLD US: http://themiddleground.sg/2016/10/28/feng-bad-egg-disgrace-nation-says-stta-deputy-president/

WHAT THE MSM DIDN'T SAY: http://themiddleground.sg/2016/10/27/assassination-national-olympian/"
337546116346785_875920525842672,"UPDATE: The post has been removed by Mr Sim, but if you want to read what else he said about Feng Tianwei and why the association dropped her from the national squad, here are the highlights:

More about why those 200 eggs were such a big deal to the Singapore Table Tennis Association - it's a matter of integrity, said STTA Deputy President David Sim."
337546116346785_875917369176321,"BREAKING NEWS: After STTA's shocking announcement this week that it was dropping national paddler Feng Tianwei, here comes another shocking revelation about its decision from the association's deputy president David Sim."
337546116346785_875908429177215,"If you take public transport often, you’ll want to know about the tweaks coming to the cost of your commute and how that cost will be calculated from December 30. Read it here:"
337546116346785_875479835886741,"Remember Anton Casey and Amy Cheong? Their inflammatory words on social media led to netizens exposing their private lives and them losing their jobs. Now, another incident relating to a driver running over a dog has mobilised the CSI: SG squad - but this time, the mob got the wrong person."
337546116346785_875445975890127,"Things were all doom and gloom for REITs last year. But this month, they surprised us with news that they were coming in vogue. But is this just a reflexive response to low interest rates, and how sustainable is the renewed interest?"
337546116346785_875384849229573,"Prime Minister Lee Hsien Loong was interviewed by Time Magazine last week, in which he gave his thoughts on a wide range of topics, from US-Sino relations to why Singapore doesn't have a minimum wage. Here's the TLDR version."
337546116346785_874928905941834,"National paddler Feng Tianwei was dropped by the Singapore Table Tennis Association for being difficult, dishonest, and disrespectful, say her critics who were not named by the mainstream media."
337546116346785_874286676006057,"Last year, ex-cop Iskandar Rahmat was convicted of killing a father and son, and now his life is hanging in the balance. Will his defence team's appeal be successful?"
337546116346785_874163569351701,"Financial problems spread like diseases. And in a port city, diseases start at the shipyards and docks. As the oil and gas industry falters, and our shipyards grow quiet, we might see a dreaded epidemic of money problems start to spread."
337546116346785_873940956040629,"She’s had problems with her coaches in the past, but who knew the Singapore Table Tennis Association would suddenly decide to axe Feng Tianwei from the national team? More on this and an update on the economy from the Monetary Authority Of Singapore Monetary Authority of Singapore in our summary of today’s morning headlines."
337546116346785_873293752772016,Exotic produce are becoming increasingly common in shops. We've compiled a list of them for you.
337546116346785_873391869428871,Hillary Clinton and Donald Trump have hogged the headlines of the US presidential elections. But what if Americans don't like either candidate? Who else can they vote for?
337546116346785_873109266123798,So foreign entities now need a permit to fund and support Speakers' Corner events. So another OB marker has been drawn in the sand. And so Felix draws inspiration from this to create this story about a discipline master who wields rules arbitrarily. #CheongsterCafe
337546116346785_872985292802862,Is the news good or bad? It depends on how you use the figures.
337546116346785_872394432861948,What are SMRT's grounds for dismissing two employees involved in the train accident?
337546116346785_872303986204326,"What's going viral? Apparently a conversation a child had with President Tony Tan and his wife, Madam Mary Chee Bee Kiang."
337546116346785_872260522875339,If it's too good to be true...
337546116346785_872182336216491,"This year's coral bleaching event, which began in end-April, is the longest in Singapore in recent years. It is more severe than the two earlier events, in 1998 and 2010. The good news? Some corals are starting to recover, scientists said in a Straits Times report today. 

What is bleaching? How does it happen? Read our coverage here:"
337546116346785_872169002884491,"Would you pay more to buy greener energy? New options, but no prices yet. Meanwhile Trump makes his presidential policy pitch. All this in today's #morningcall"
337546116346785_871764009591657,"""But journalism is about sticking to what is real, even if the facts are not sexy. It should make readers think and maybe move them into action, not merely make them angry."""
337546116346785_871568356277889,Deepavali is around the corner. Here is a round up of some traditional festive favourites to try this festive season.
337546116346785_871501402951251,"Playgrounds nowadays are ""so safe, so clean”."
337546116346785_871452036289521,"In the headlines this morning: the entry of mid-career transfers into the social sector, the re-opening of the Bukit Timah Nature Reserve, and the late submission of audited financial statements by the Aljunied-Hougang Town Council.

All these and more, in today's #morningcall"
337546116346785_870942326340492,"Riders have been accused of driving up treatment bills, and making health insurance more expensive for everyone. But what is a rider, and why do insurers keep offering them anyway?"
