status_id,status_message
30332546206_10153836165501207,"Pleased to welcome Commonwealth Secretary-General The Rt Hon Patricia Scotland QC, on her first official visit to Singapore. The 52 member states of the Commonwealth are geographically diverse but mostly share a common constitutional, legal and linguistic heritage. The majority of member states are also small states like Singapore.

Six months into her term as Secretary-General, Patricia had many ideas on ways to address issues of concern to Commonwealth member states, such as climate change, good governance, gender equality and youth empowerment. We will continue to work with the Commonwealth to share Singapore’s experiences with other small and developing Commonwealth member states, in particular exchanging ideas on how small states can work towards sustainable development in line with the UN’s Sustainable Development Goals."
30332546206_10153832246481207,
30332546206_10153829536206207,"Farewell to Dr Kwa Soon Bee, who was the key implementor of much of our post-independence healthcare system.

I was privileged to have served under him, and recall his dedication to bringing out the best in those around him. He always provided wise counsel, clear guidance and strong leadership. He paid attention to the career development of junior staff. I was amazed that he made time even for junior doctors like me. I will always treasure the tea sessions he hosted. He was my mentor and inspiration. 

Thank you so much Dr Kwa. We will never be able to repay you. But we may follow your footsteps in paying it forward to the next generation."
30332546206_10153826350766207,"Caught up with Indonesian Coordinating Minister for Maritime Affairs Luhut Pandjaitan over lunch. Pak Luhut used to be Ambassador to Singapore and has been a strong advocate for Singapore-Indonesia relations. We had a good discussion on stronger economic cooperation, especially in tourism and connectivity, between our two countries."
30332546206_10153824707366207,Wishing all Hindu friends a very Happy Deepavali
30332546206_10153821979821207,"Ho Chi Minh City is a vibrant commercial hub, and will be one of the megacities of ASEAN. 

Met HCMC People's Committee Chairman Nguyen Thanh Phong, who also hosted me to lunch. We discussed the common challenges that Singapore and HCMC face, such as environmental sustainability, water and public transportation. We both aspire to be Smart Cities, to address our peoples' needs in the face of the ongoing Fourth Industrial Revolution. Singapore is the top foreign investor in HCMC. I believe our investments will continue to flourish with support from the city government. 

Took a short tour of SC VivoCity in HCMC's District 7 with CEO of Mapletree Vietnam Mr Lee Seng Chee. Happy to see Singapore investments thriving alongside Vietnamese businesses. Had coffee at an organic produce store, 5th Element, owned by a Singaporean, Mr KC Low who has been in Vietnam for 30 years. Also explored Co.opXtra, a hypermarket run by NTUC Fairprice.

It was a fruitful introductory visit and I look forward to working with my Vietnamese counterparts to advance the Strategic Partnership between our countries.
_________________

(Photos by Syazwana Halid)"
30332546206_10153819918521207,"Had productive meetings with Vietnamese PM Nguyen Xuan Phuc, and DPM and Foreign Minister Pham Binh Minh. We discussed ways to enhance cooperation in areas such as aviation, financial services, education and cybersecurity. Also exchanged views on regional developments, and reaffirmed the importance of ASEAN solidarity and centrality. Also happy to renew an Agreement with DPM Minh to promote interactions between our senior officials.

I also met President of the Vietnam Fatherland Front Nguyen Thien Nhan. The VFF plays a similar role as our People's Association.  We discussed ways to leverage on technology to engage our peoples, in particular our youth, and how to promote even stronger people-to-people interactions between our countries.

Found time to stop by the Vietnam Military History Museum. I learnt more about the crucial events in Vietnam's struggle for independence that reflect the Vietnamese' powerful sense of national identity, determination, discipline, self-sacrifice and purpose. It was a sobering reminder that we should not take for granted the peace and sovereignty that our countries enjoy today.
__________________

(Photos by Syazwana Halid)"
30332546206_10153818407166207,"In Hanoi for my introductory visit to Vietnam. 

Had a good meeting with Chairman of the Communist Party of Vietnam Commission for External Relations Hoang Binh Quan. We discussed developments in the region and some of the common challenges faced by Singapore and Vietnam, such as developing our human resources and engaging our youth.

Also glad to meet the Singaporean community here at a reception organised by our Embassy in Hanoi. Many of them have lived and worked in Vietnam for several years; quite a number for decades! I was happy to hear their stories, and heartened to learn that many, like Michael Ong through his ""Tea Talk Vietnam"" social enterprise for youths, have gone out of their way to make a difference to the local communities in Vietnam. 

Many of the Singaporeans also told me that they have benefitted from the brand name of Singapore. We are fortunate that it comes with a reputation for integrity, reliability, and trustworthiness. We must all do our best to keep the flag flying high, both in Singapore and abroad.

Looking forward to exploring new areas of cooperation with Vietnam in my meetings today.
________________

(Photos by Syazwana Halid)"
30332546206_10153812670546207,"Had a wonderful evening celebrating the 50th Anniversary of Singapore-Japan relations (SJ50) at the SJ50 Gala Night organised by Ad Planet Group.

This charity event featured performances by Japanese calligrapher Shoko Kanazawa, who has Down Syndrome, and Singaporean pianist Azariah Tan, who has degenerative hearing loss. These two talented and accomplished young people did not let their disabilities deter them in the pursuit of their passion. While we often think of special needs individuals in terms of what we have to do for them, Shoko’s inspiring calligraphies and Azariah’s beautiful music have shown that it is us whose lives have been richly blessed by them. “Perception”, the photomontage of the special needs community by Singaporean photographer ND Chow was an apt reminder that humanity, in all our diversity, is beautiful and precious. 

I am heartened to see Singapore and Japan collaborating - including at the people-to-people, and business-to-business level - on such meaningful causes. I am confident that our ties will grow stronger as we look towards SJ100 and beyond.
____________________

(Photos by Karan Peswani)"
30332546206_10153810004651207,"It was so wonderful to catch up with our #Cashew Residents from Blk 174 Lompang Road last Thursday evening during my house visit there. It was a good opportunity to get their feedback, understand their concerns and to see how we can better help them.

Thank you to our Cashew Zone 2 RC volunteers for supporting this house visit, and for your hard work over the years to build a better home in #HollandBukitTimah for all our families."
30332546206_10153807266056207,"Delighted that our beautiful Bukit Timah Nature Reserve has re-opened. It is a wonderful place with so many unique memories for all of us. 

Amazingly, there is greater biodiversity in Singapore than in continental North America. 

Spend some time with your family here. NParks has done an excellent job of restoring the trails and protecting our precious natural heritage."
30332546206_10153806553686207,"Cities are now the centres of gravity in the world. As more people begin moving to cities, what people do in cities will very quickly become the dominant theme for the world.

Cities need to build bridges, not walls. Even as Singapore has a massive network of submarine fibre optic cables converging here and connecting us to the world, it is even more important to adopt a state of mind that is open to collaboration, new ideas, products and services.

This enables greater exchanges, partnerships and value creation to be derived from emerging platform technologies such as artificial intelligence, 3D printing, big data and the Internet-of-Things.

I am glad to speak at the CNN/ CapitaLand Future Cities Asia Forum and witness a new partnership between CapitaLand and Grab who are harnessing technology and collaborating to develop a new service for consumers.

We have embarked on our #SmartNation journey not just because we can, and because we have to. What used to be existential vulnerabilities - such as being small and compact - may actually be an advantage for Singapore to be a place where the brightest minds converge, collaborate and innovate smart solutions that can be test-bedded, up-scaled here before being commercialised for other global cities too!"
30332546206_10153804809086207,"Had another fruitful meeting with President of the Eurasia Group, Ian Bremmer. Last saw Ian in New York in April. Always enjoy listening to his insights on what's going on around the world. We discussed ongoing developments in the region and the US, and how Singapore and other Global Cities can best seize the opportunities available.

Was also pleased to separately meet a bipartisan delegation of staffers who assist various US Senators and Representatives. They are visiting to learn more about Singapore and our policies. We had a good discussion on foreign policy, the excellent ties between Singapore and the US, and the importance of the US' continued engagement of our region. I believe the delegation had an enriching and enjoyable trip to Singapore and hope they will visit again, with their bosses in tow!"
30332546206_10153801889686207,"Enjoyed my discussion with President of the Chicago Council on Global Affairs, Ambassador Ivo Daalder, who is on a study trip to Singapore under the Chicago Council’s Global Cities Project. We discussed developments in the region, and the importance of the TPP, not just for the economic benefits it will bring to the US and the rest of the Asia-Pacific, but also as a signal of the US’ commitment to continue its longstanding engagement of the region.

I also enjoyed our discussion on how Chicago and Singapore can cooperate in areas such as advanced manufacturing, technological innovation, and smart cities. One key similarity between Chicago and Singapore; we are both urban centres doing our best to get onto (and stay on!) the leading edge of the technological revolution that is transforming our societies, in order to provide the jobs of the future, and a better life for our people. To achieve this, strong global partnerships and the sharing of ideas are essential."
30332546206_10153796385536207,"Two segments of the Berlin Wall were unveiled at the NUS UTown Sculpture Garden this evening. The segments are a gift from German company Lagerhaus to mark 50 years of diplomatic relations between Singapore and Germany, which we celebrated last year. 

The Wall segments are a physical reminder of a turning point in history. For nearly half a century, the world was divided. The fall of the Wall on 9 November 1989 marked the rejection of isolationism in favour of interdependence, and barriers in favour of bridges. 26 years on, these ideals still hold true, as we seek to build a world characterised by peace, cooperation, and win-win outcomes.
_____________________

(Photos by Celest Chang)"
30332546206_10153793322546207,"Had a lively discussion with students from the NUS College of Alice & Peter Tan - CAPT. We touched on a wide range of pertinent issues facing our society today such as inequality, disruption and future jobs. 
 
I shared my hypothesis that many of these disruptions are not, in fact, the result of a right-wing political conspiracy - but are brought about by the rapid advances in technology, connectivity and scientific breakthroughs taking place globally. 
 
Yet, these disruptions represent huge opportunities for us to build a #SmartNation, and education remains of key importance in preparing our people with the right skills and knowledge; forming a strong foundation for human creativity, innovation and collaboration to flourish.
 
In this new age, each of us are more empowered and can play a role to address our societal needs in a completely transformed way, and I believe Singapore has what it takes to be in the game. If we can get it right, we get to buy ourselves another chapter of global relevance!"
30332546206_10153783816266207,"Rounded off a hectic week away from home with the ASEAN-EU Ministerial Meeting in Bangkok (directly from Australia). 

Europe and Southeast Asia are both undergoing profound challenges. Global growth and trade have slowed. 

Digital technology has displaced jobs - and both younger and older workers need new skills. 

Conflicts continue to fester in the Middle East, and generate more violent extremism in other regions including ours. 

Globalisation is facing a crisis of confidence. 

We discussed the need to accelerate growth by investing in education and infrastructure, promoting free, fair trade and greater connectivity. 

We made the case for an ambitious ASEAN-EU FTA and a more liberalised air transport regime. 

An interdependent world characterised by better integration and win-win cooperation is the way to create a brighter future for our people. 

On the other hand, the creation of isolated, rival blocs is a recipe for stagnation and conflict. 

I also signed the condolence book for His Majesty King Bhumibol Adulyadej at the Thai MFA, and met several of my European counterparts. 

Back home for a week, before heading to Vietnam for my introductory visit.

__________________

(Photos by Miranda Yeo and Gerry Gewi)"
30332546206_10153780905671207,"Just landed in Thailand, and learnt with deep sorrow of the passing of His Majesty King Bhumibol Adulyadej. His Majesty was a great blessing to the people of Thailand. Throughout his reign, His Majesty worked tirelessly to improve the well-being of the people of Thailand. His many travels to the provinces and rural areas of Thailand, listening to the people’s concerns, and finding solutions to improve their lives, showed his deep care and concern. His Majesty has left an indelible legacy."
30332546206_10153777488186207,Pleasant walk in Canberra Nara Park on a cold clear day.
30332546206_10153776960881207,Excellent symbol of bipartisan support for the Australia Singapore Comprehensive Strategic Partnership. PM Malcolm Turnbull and Leader of Opposition Bill Shorten wearing ties of the same hue!
30332546206_10153775613306207,"PM Lee Hsien Loong visits Australia to seal our Comprehensive Strategic Partnership. 

Singapore and Australia are convergent strategically and complementary economically. 

Australia can become the hinterland Singapore lacks. This will exponentially increase space and opportunities for all Singaporeans. And we will help plug Australians directly into Asia. A win-win outcome. 

There is added poignancy for me at a personal level. I made two trips within two weeks to Australia to finalize negotiations for the Comprehensive Strategic Partnership in March this year. Those two weeks were the final two weeks of my late father's life. Time away that I can never reclaim. But my father would have understood why this is so important for the future generations of Singaporeans. 

http://www.straitstimes.com/asia/australianz/pm-lee-to-address-australian-parliament"
30332546206_10153773094571207,"Cybersecurity is one of the foundational issues that must be addressed, for us to maximise the benefits of our increasingly interconnected world.

Happy to meet UN Under Secretary-General (USG) and High Representative for Disarmament Affairs Kim Won-soo. USG Kim delivered UN Secretary-General Ban Ki-moon’s remarks at the opening ceremony of the inaugural Singapore International Cyber Week. The UN Office for Disarmament Affairs (UNODA), which USG Kim oversees, plays a key role in facilitating inclusive and comprehensive cybersecurity discussions at the UN, including the development of new norms. USG Kim and I discussed the key role that Singapore can play in this area. We will continue to support the UNODA and contribute to the international discourse on cybersecurity."
30332546206_10153772295621207,"PM Lee Hsien Loong opens the Singapore International Cyber Week. 
Cybersecurity is a clear and present challenge (but also a huge opportunity for good jobs). 
We aspire to be a #SmartNation but cybersecurity is a an essential prerequisite."
30332546206_10153764411966207,"Delighted to meet Turkey FM Mevlüt Çavuşoğlu in Ankara today. We reaffirmed our commitment to strengthen our promising bilateral account, thru initiatives such as our Turkey-Singapore FTA which we hope to have ratified and implemented soon. We also discussed a range of issues such as civil aviation, security and cultural cooperation. We had a frank exchange of views on regional developments. 

Also visited Antalya today, to visit NParks' exhibition, titled ""City in a Garden"", at the EXPO 2016 - a display of gardening cultures from around the world. The EXPO was a wonderful platform for us to share some of our ideas and experiences in balancing the conservation of our rich biodiversity with urban development. Well done to the NParks team! I was also glad to have a chance to visit some of the other exhibits at the EXPO. 

To round off my visit, I met Antalya Mayor Menderes Türel and was hosted to dinner by Governor Münir Karaloğlu. We had interesting discussions on developments in Antalya. 

This has been a good visit. I hope to welcome FM Çavuşoğlu to Singapore soon and reciprocate his generous hospitality!"
