status_id,status_message
102470493134142_1214171815297332,"Q: Can you tell us how God can put us at the right place at the right time?

--
Hear Joseph Prince talk about his new book, The Prayer of Protection. Find out more: prayerofprotection.com"
102470493134142_1214166758631171,"Experience freedom from fear, lack and discouragement. Get Joseph Prince’s latest DVD album, Live Life Loved By The Shepherd here: http://bit.ly/2bXdFoZ"
102470493134142_1214741355240378,"God's plans and dreams for you are bigger than your plans and dreams for yourself. 
Trust His loving Father's heart for you. Believe He's leading you one step at a time, and that He will never short-change you (see Joel 2:26)."
102470493134142_1214070048640842,Receive this powerful truth that can set you free from sickness and disease. http://bit.ly/2a0Sx0V
102470493134142_1214404245274089,"Don’t miss this chance to pre-order Joseph Prince’s new book, The Prayer of Protection, at a special promo price! One more week till pre-order ends. Get your copy at: http://bit.ly/2e0qGBN"
102470493134142_1214358698611977,"“Give all your worries and cares to God, for he cares about you.” 
1Pe 5:7 NLT"
102470493134142_1213979675316546,"Make this declaration: A thousand may fall at my side, and ten thousand at my right hand, but it shall not come near me! (see Ps 91:7)

Find out more about Joseph Prince's new book, The Prayer of Protection, at prayerofprotection.com."
102470493134142_1213951128652734,"Dear friends, it has come to our attention that there are people using fake Joseph Prince Facebook accounts to private message individuals to ask for their personal details or to raise money for their own causes, like orphanages, etc... Please be aware that officially we do not endorse any of these fraudulent organizations and we advise you NOT to support any of these causes.

We also do not use Facebook to raise any funds for other organizations. This is the only official Joseph Prince page on Facebook and we do not send private messages or friend requests to individuals as well.

Thank you for exercising wisdom and care in this matter. Do like and share this post so more people will be aware.

Blessings,
Team JP"
102470493134142_1213917838656063,"Beloved, the symptoms in your body may be there, but they're not the truth. God's Word IS TRUTH. And God says, ""By Jesus' stripes, you are healed"" (see 1Pe 2:24)."
102470493134142_1210042062376974,"Partake of the prayer of protection found in Psalm 91. Join Joseph in declaring this powerful psalm of protection over your life now!

Commit to #PRAYPS91 over your life for 30 days! Join the movement: prayerofprotection.com/movement"
102470493134142_1213496862031494,"If you are troubled, don’t give yourself over to worry. Call on the Lord Who is mighty to save.

""As for me, I will call upon God,
And the Lord shall save me.”
Ps 55:16"
102470493134142_1210035322377648,"Partake of the prayer of protection found in Psalm 91. Join Joseph in declaring this powerful psalm of protection over your life now!

Commit to #PRAYPS91 over your life for 30 days! Join the movement: prayerofprotection.com/movement"
102470493134142_1213132835401230,Step into supernatural peace and provision today. Watch an excerpt of Joseph Prince’s latest DVD album: http://bit.ly/2cMbWGb
102470493134142_1213096255404888,"Jesus took your shame, fear, stress and depression when He took the crown of thorns on His brow. 

Today, even in the middle of your storm, look to His sacrifice and receive His shalom peace."
102470493134142_1212910705423443,
102470493134142_1212702478777599,"Beloved, did you know that God has got us covered all around, in every way? His abundant supply of grace (unmerited favor) encompasses us like a mighty and impenetrable force field, surrounding us 360 degrees and twenty-four hours a day!

Find out more about Joseph Prince's new book at prayerofprotection.com."
102470493134142_1212666568781190,"Live fearlessly because God, Who created the heavens and the earth, is for you. He protects you and keeps you safe from any harm.

""In God I have put my trust;
I will not be afraid.
What can man do to me?""
Ps 56:11"
102470493134142_1212299588817888,Amazing time with dear friends in Southern California. Thank you Matt & Laurie for your friendship and hospitality. ☺️
102470493134142_1212296992151481,"Meditate on how you have a big God before Whom all things are possible!

""I will meditate on the glorious splendor of Your majesty, and on Your wondrous works.”
Ps 145:5"
102470493134142_1211914725523041,"We will see the world getting darker and darker. But as believers, we do not need to live in fear. Our trust is in our Lord Jesus. 

Find out more about Joseph Prince's new book, The Prayer of Protection, at prayerofprotection.com"
102470493134142_1211879428859904,"God loves you. His desire for you is that you experience good success in all you do and be healthy.

""Beloved, I pray that you may prosper in all things and be in health, just as your soul prospers.”
3 John 1:2"
102470493134142_1211430535571460,"""Those who look to him for help will be radiant with joy; no shadow of shame will darken their faces.”
Ps 34:5 NLT"
