status_id,status_message
203314719715066_1171650849548110,"I joined very proud parents and teachers as they watched the children at the Little Leaders Graduation ceremony.
 
The children have a lot ahead of them, including opportunities to discover their interests and talents, and to develop the necessary life skills for the future. 

#HomeWithAHeart Nee Soon Caress"
203314719715066_1171667632879765,"I joined volunteers of Lighting Hearts Lighting Homes at their annual event to distribute goodie bags to needy individuals and families. 

The programme reaches out to 750 senior citizens and families. It is ground-up, run entirely by volunteers.

I've included their Facebook page link. If you like to volunteer with them, you can contact them via Lighting Hearts Lighting Homes.

#HomeWithAHeart"
203314719715066_1171641569549038,"Wishing all Hindu friends Happy #Deepavali.

#HomeWithAHeart Nee Soon Cares Nee-Soon Town Council PAP Nee Soon GRC"
203314719715066_1170313233015205,"How will community leaders respond in an event of an attack?
-----------------------------------------------------------------------------------------
After an islandwide multi-agency counter-terrorism exercise, we followed up with community-response exercises, in 16 GRCs in Singapore.
 
I joined the religious, community and grassroots leaders of Nee Soon GRC in their session.
 
They plan their response, and how they will reach out to mobilise the broader community and facilitate a return to normalcy. 

Comfort, assurance and maintaining the cohesiveness of the community is important. We cannot allow attacks to divide us. This exercise allows our community leaders to think through how this will be done.
 
We will continue to do this with different groups throughout Singapore.
 
#StayAlert #StayUnited #StayStrong #SGSecure"
203314719715066_1170303709682824,"I went to Sri Mariamman Temple, Singapore late on Saturday night (the night before the fire-walking festival on Sunday).

It was very crowded, lots of devotees.
 
Last year, I shared a video of the same festival, said to be from 1913 (link below). Over the years, the festival has gone from strength to strength.

Link to video: https://www.facebook.com/k.shanmugam.page/videos/952010468178817/#"
203314719715066_1167534666626395,"The States Times has posted an anonymous article saying that I had said in an IPS Forum on 21 October, that Eurasians are considered Indians under the “ Presidential candidacy law”. And it goes on to elaborate on what I had supposedly said, and suggests that I said this in response to Mr Bennett Theseira. And that “ Indians outnumbered Eurasians 20 to 1 and that makes it difficult for ( there to be) an Eurasian President"".
 
All of this is completely false. During my session which lasted 90 minutes, I said nothing of the sort attributed to me, about Eurasians. In fact I wasn’t asked about Eurasians at all, either by  Mr Theseira or anyone else. And I made no comments at all about Eurasians. There was no question posed to me, relating to Eurasians, and there was no discussion on Eurasians.
 
Am quite shocked at such outright falsehoods.
 
The allegations are a complete fabrication, and I will be making a police report.
 
The article also mentions a number of other things that were supposedly discussed - most of them are either completely untrue, or half truths, and misleading."
203314719715066_1165403420172853,"Islandwide multi-agency counter-terrorism exercise
---------------------------------------------------------------------
 
On Monday and Tuesday, about 2,500 officers from the Home Team, led the largest terror exercise conducted to date. The exercise was supported by 660 officers from the SAF and 60 volunteers from The People's Association.

Early on Tuesday morning, I observed our officers in action.
 
This video by the Police showcases some of the highlights from the exercise.

https://www.facebook.com/singaporepoliceforce/videos/10155439948419408/?hc_ref=NEWSFEED

#StayAlert #StayUnited #StayStrong #SGSecure

The Singapore Army Home Team News (Singapore)"
203314719715066_1163371957042666,Sharing a video that one of our volunteers did of the Kew Ong Yah sending off ceremony.
203314719715066_1156547641058431,"There will be a youth Futsal competition held on 6 Nov 2016 in Nee Soon.

Youth Futsal teams all over Singapore are welcomed to register and compete.

Details are in the poster attached. The closing date is 31 Oct 2016.

Link to the event: https://www.facebook.com/events/1189625914433721/.

Nee Soon Cares Nee-Soon Town Council #HomeWithAHeart FutsalArena"
203314719715066_1158106547569207,"Joined devotees at the Kew Ong Yah sending off ceremony over the weekend.
 
The festival is a ground-up event, and reaches out to people of different ages, races and religions.
 
Every year, the community comes together and participates in the various activities throughout the period including the many charity events.

Nee Soon Cares #HomeWithAHeart"
203314719715066_1156545067725355,"We will host the Nee Soon Public Forum on Animal Protection Policies this coming Saturday afternoon.
 
Those keen to work with the community on animal protection policies can join us to share your inputs and offer to help.

You can register through this link https://goo.gl/forms/gbUgRH6IRCmt5jq53 or 
visit the event's Facebook page: https://www.facebook.com/events/646145482214407/

Nee Soon Cares Nee-Soon Town Council #HomeWithAHeart"
203314719715066_1154825551230640,"Joined devotees in receiving kew ong yah last week, at the seaside.

Will join devotees to send off kew ong yah at Sembawang Beach tomorrow evening.

All are welcome to join us in this annual event, and pray for peace, happiness and prosperity.

#HomeWithAHeart Nee Soon Cares"
203314719715066_1151587414887787,"Did two Post National Day Rally dialogue sessions at Yishun Emerald Condominium and Chong Pang Zone 4 over the weekend.

Residents raised national and municipal issues.

Nee Soon Cares #HomeWithAHeart"
203314719715066_1146770668702795,"Police storm flat, free 2 yr old boy
-------------------------------------------------- 
A 39 year-old man had held a 2 yr old boy hostage for 17 hours. In a flat in Sembawang Drive.
 
After talking to him for a long time, officers from Special Ops Command (SOC), with help of SCDF, stormed the flat, in a matter of seconds and freed the boy.
 
The Police video below shows a little bit of how this was done. Meanwhile officers also rappelled down the block, waiting, just outside the window of the flat, to rescue the boy, in case the man threw the boy out of the window.
 
The man has been arrested for among other things, taking the boy hostage, and for drug offences. The boy’s mother has also been arrested for drug related offences.
 
Our Officers did very well, engaging the man, assessing, because the life of the boy was at risk. And finally they moved in at the right time, and did it very quickly and well.
 
Thank them for their professionalism.

The only reason we don’t have more such incidents is because of our tough policy on drugs.
 
All those who plead on behalf of the drug traffickers, and tell us to change our laws should answer to Singaporeans: how many of  such kids do you want to see traumatised, brutalised and killed ?

https://www.facebook.com/singaporepoliceforce/videos/10155366723254408/"
203314719715066_1144181278961734,"Official Launch of SGSecure
________________________

Prime Minister Lee Hsien Loong officially launched SGSecure yesterday morning. 

Over the year, MHA has put in place measures to address the terrorist threat, like deploying Emergency ResponseTeams around Singapore. 

But this cannot be the work of the government alone. Every one has a role to play.

What will you do, if you are caught in an attack. Would you be able to help yourself? 

Would you be able to help your family, someone else? 

Would you be able to give details to the Police, using the new App? 

Would you be able to help mobilise the community to respond?

SG Secure will train people on the above. SGSecure aims to  mobilise the whole nation against terrorism. We ask for people to come forward and volunteer, have yourself trained.

You can help save lives."
203314719715066_1141708592542336,"Attended an #SGSecure crisis response exercise at Chong Pang Community Club over the weekend. 
 
Grassroots leaders had the chance to understand and practice their response plan when an emergency takes place. 

It is important. 

Grassroots leaders play a pivotal role in supporting the community when an attack happens.

Nee Soon Cares"
203314719715066_1141705785875950,"I joined families and friends of Nee Soon GRC at Orto over the weekend to celebrate the Mid-Autumn Festival.

Nee Soon Cares #HomeWithAHeart"
