status_id,status_message
125845680811480_1251704118225625,"Our economy has been in the news recently. Business is slow, redundancies are rising, but unemployment is still low. 

I did a dialogue with leaders from the unions and labour movement yesterday. I told them this is unlike the Global Financial Crisis in 2008. Today growth is positive, EDB is attracting substantial investments, and we are creating many new jobs. The current slowdown is not an infection that can be cured with one course of antibiotics. What we need instead is a sustained longer-term strategy to build ourselves up, and go for growth.

We are working with businesses to transform industries, upgrade SMEs, and help companies expand overseas. For workers, we are investing in skills training programmes and job matching schemes.

Many countries face similar economic problems. If any country can succeed, Singapore can. We have the tripartite partnership, and will work as one nation together! – LHL

(PMO Video by Alex Qiu and Chiez How)"
125845680811480_1249639468432090,"Bright lights in the city: The Singapore skyline is especially dramatic in the evening, backlit by the twilight sky. – LHL

(MCI Photo by Terence Tan)"
125845680811480_1249639211765449,MCI Photo by LH Goh
125845680811480_1248654201863950,"The Purple Parade is a movement that supports the inclusion of persons with special needs and celebrates their abilities. I attended the parade last year (bit.ly/2dVryli) and found it meaningful and fun. 

This year’s parade will take place this Saturday, 5 November, at Suntec City. I hope you will join in with your family and friends, and be part of building an inclusive society in Singapore. – LHL
 
#GoPurpleSG"
125845680811480_1247486221980748,"இனிய தீபாவளி வாழ்த்துகள்! Wishing all who celebrate the Festival of Lights a Happy Deepavali! 

Like other traditional holidays that we celebrate – Chinese New Year, Hari Raya Puasa and Christmas – Deepavali is a joyous festival enjoyed with family, friends, and food!

Took a #jalanjalan in Little India this week to soak up the festive spirit. It was bustling with activity, packed with happy shoppers, and lots of excited kids! – LHL"
125845680811480_1247492768646760,"இனிய தீபாவளி வாழ்த்துகள்! Wishing all who celebrate the Festival of Lights a Happy Deepavali! – LHL

(Photo by me)"
125845680811480_1246936138702423,"Our Team Singapore athletes have done us proud this year, and now we have one more reason to celebrate - the Singapore National Culinary Team were crowned the overall champion at the Culinary Olympics 2016!

Like the Olympics Games, the Culinary Olympics are held every four years, but always in the same place – Erfurt, Germany. This time 30 countries took part. Singapore is the first Asian country to win double gold in the Cold Display and Hot Cooking categories.

Congratulations to team manager Chef Louis Tay and the team for your hard work, and to the Singapore Chefs Association and sponsors for your support! 

Click on the link below to see some of the beautiful dishes the team created. I’m sure they taste even better than they look. – LHL"
125845680811480_1249633595099344,"Promoting Ong Ye Kung and Ng Chee Meng 黄志明 to full ministers as of 1 November.

Both will continue to share the Education portfolio. Chee Meng will be Minister for Education (Schools) and concurrently 2nd Minister in the Ministry of Transport, and Ye Kung Minister for Education (Higher Education and Skills) and concurrently 2nd Minister in MINDEF.

Building a leadership team is one of my top priorities. These changes are part of the renewal process, to reinforce my Cabinet and get a younger team in place, ready to take over. I hope that Singaporeans will give them your full support, and work with us to take Singapore forward.

The full statement is on the PMO website here: bit.ly/2fdx8Fe

– LHL
 
(Photo from Ng Chee Meng’s Facebook page)"
125845680811480_1246587558737281,"Met Mdm Jenny Yim, a bus attendant, and Mdm Norazizah, a trainer, (on my right and left respectively) at the Club-100 @ North West  annual dinner last night. Both are pioneer donors of the club since it started 8 years ago. 

Based in North West CDC (Community Development Council), club members donate at least $100 a month to the North West Food Aid Fund. The fund provides food rations, vouchers and tingkat meals to the needy. Club-100 @ North West started with just 10 members – it now has 620! Together, they have raised $5.3 million over the last 8 years and helped 12,000 needy families. 

Our CDCs do a lot of good work to help the less fortunate, and organise activities to connect communities. They depend on the invaluable support of volunteers and donors. Thank you for your contributions, and for helping to build a strong community that cares and looks out for one another. – LHL

(MCI Photo by Betty Chua)"
125845680811480_1245609815501722,"Sat down with Ian Bremmer, editor-at-large and foreign affairs columnist at TIME magazine, last week before my trip to Bangkok. We talked about many things: the ongoing US elections, the Trans-Pacific Partnership (TPP), US-China relations, the US presence in Asia, and coping with an undefined future.

You can click on the link below to read the interview. – LHL"
