status_id,status_message
414646378558039_772449389560827,(PSC 2017) should use this song as it is very meaningful in various ways. 
414646378558039_1231136560242346,"I suggest MediaCorp Channel U & MediaCorp Channel 8 must cease transmission and all MediaCorp Channel U & MediaCorp Channel 8 programs must move to MediaCorp Suria, MediaCorp Suria will become Malay-Mandarin TV channels."
414646378558039_1230841023605233,"#Throwback: At our special #Deepavali gathering for all employees; celebrating the Festival of Lights! 

We hope all our Hindu friends are having a wonderful Deepavali this weekend! #HappyDeepavali"
414646378558039_1230301650325837,Several of our radio stations experienced a temporary outage earlier this evening due to a technical issue. Transmission has been restored. We are sorry for the disruption.
414646378558039_1229436003745735,"From all of us at Mediacorp, we want to wish all our Hindu friends a #HappyDeepavali!"
414646378558039_1229227350433267,Mediacorp gives back for #WorldFoodDay! #SavingGaia
414646378558039_1228989977123671,"This is for all the fan girls out there... you're welcome 😉

UPDATE: You can also watch Class 95's #FBLive with #LeeMinWei (if you missed it this morning) here: http://ow.ly/Z5vg305Cpxe"
414646378558039_1228314410524561,"10月27日【娱乐】新传媒艺人白薇秀 Joanne Peh 再度怀孕，即将在明年5月迎来小宝宝。白薇秀暗示，第二胎是在北京“制造”，并透露，自己想要有四个孩子。

刚与新传媒 Mediacorp 续约的戚玉武 Qi Yu Wu ，接下来会花更多时间陪在老婆身边，并继续在本地拍戏。

更多：http://bit.ly/2dKOjgB"
414646378558039_1228206530535349,"Treat the whole family to a fun and memorable day out at the Family Relay Fiesta @Mediacorp Car Challenge! Stand to win amazing prizes simply by participating in some simple challenges as a family on that day. Registration is free, so hurry! Sign up now: http://bddy.me/2eSVjoA #CarChallenge2016"
414646378558039_1226768737345795,
414646378558039_1226604534028882,"The President’s Star Charity raised S$7.37 million for charity on Sunday evening (Oct 23). The proceeds will go to 58 beneficiaries under the President's Challenge. Donation phone lines remain open till midnight on Oct 29. 

Missed the show? Catch-up on Toggle or watch the encore telecast on Mediacorp Channel 5 on Oct 29 at 2pm! http://ow.ly/xoNC305v08j"
414646378558039_1225864447436224,
414646378558039_1225726787449990,We're very happy to announce that the President's Star Charity raised S$7.37 million for charity yesterday. The proceeds will go to 58 charities under the President's Challenge 2016.Thank you so much for your generosity and support! #PSC2016
414646378558039_1225475104141825,"Hosted the President's Star Charity 2016 with Chua Enlai and we raised over $7million for 58 beneficiaries under the President's Challenge. 

And you can donate too 
Call 1900 112 8821 ($5) 1900 112 8822 ($20) 
1900 112 8823 ($100) or giving.sg/psc2016 
#PSC2016 Mediacorp"
414646378558039_1225269687495700,"Are you watching the President's Star Charity now? Remember to keep those calls📱coming! You can also donate online at www.giving.sg/psc2016. #PSC2016 

1900-112-8821 - $5
1900-112-8822 - $20
1900-112-8823 - $100"
414646378558039_1225250250830977,WATCH: A special tribute item to our former president Mr S R Nathan at the President's Star Charity #PSC2016 #RememberingSRNathan
414646378558039_1225237064165629,"Did you catch this hilarious segment on the President's Star Charity?  Be sure you don't miss the rest of the show, tune in now to Mediacorp Channel 5 or the simulcast on Toggle!  #PSC2016"
414646378558039_1225213474167988,
414646378558039_1225157207506948,Don't forget to tune in to the President's Star Charity show happening 'LIVE' tonight at 7.30pm on Mediacorp Channel 5! Please continue to show your support and donate generously at www.giving.sg/psc2016 or via the Singtel Dash app. #PSC2016
414646378558039_1224560490899953,"This is how I'm spending my weekend... For a good cause! 

Rehearsals for President's Star Charity 2016 Mediacorp . Catch the show on channel 5 Sunday 29th October starting at 730pm. 

Catch some of our celebrities performing to raise funds for charity."
414646378558039_1224033150952687,"Look out for this ""all-star choir"" performance featuring celebs like Tay Ping Hui (Zheng Bin Hui) 郑斌辉 Kym Ng / 鐘琴 Joakim Gomez Jayley Woo Jiaqi Kimberly Wang and the #ITEShowChoir at the President's Star Charity! Be sure you tune in to Mediacorp Channel 5 this Sunday (23 Oct) at 7.30pm! More Info: http://bddy.me/2epZ1sh #PSC2016"
414646378558039_1223213291034673,
414646378558039_1223188011037201,
414646378558039_1223048967717772,4 #PPAP PARODIES THAT COULD BE BETTER THAN THE ORIGINAL. Watch and tell us which is your favourite! (Click video links on image)
414646378558039_1222509107771758,"My colleagues and I are very encouraged by the positive responses to Mediacorp Channel 8's ""#JiakBaBuay?""  With your support, we will continue our collaborations with the industry to produce more of such entertaining and informative local shows! -- Hong Tat

#Ch8JiakBaBuay #Ch8EatAlready

With Ministry of Communications and Information (MCI) and Gov.sg"
414646378558039_1222192644470071,#HappyBirthday Mediacorp Vasantham! 🎂
414646378558039_1221505287872140,Don't forget to tune in to the President's Star Charity show this Sunday (23 Oct) at 7.30pm on Mediacorp Channel 5. Please also show your support and donate generously at www.giving.sg/psc2016 or via the Singtel Dash app. Your generosity will go a long way to helping those who need it.   #PSC2016
414646378558039_1220875734601762,"Mediacorp is moving their operations to new premises, so it was a special moment taking a photo with 938LIVE's Daniel Martin outside the 938LIVE studio.

The MediaCorp Caldecott Broadcast Centre is part of our shared history. The buildings are old, but there's a special atmosphere each time one visits.

In the background is Daphne Lim who was in the studio too. Today she was in crutches -- hope she gets well soon! :-)

#938LIVE #bodyandsoul938LIVE"
414646378558039_1220874051268597,"<< Fighting Cancer: No One Walks Alone >>

Did a live interview this evening on colorectal cancer with Daniel Martin on Mediacorp 938LIVE. We talked about the signs and symptoms of colorectal cancer, and how early detection can help.

One caller spoke about how his wife had passed away from colon cancer. They have a young daughter.

It was an emotional moment in the studio. The fight against cancer isn't just professional -- it's deeply personal. Last year my own father lost his battle with cancer. And so many of us know of friends and family who have fought - or are still fighting - the battle with cancer.

Wherever we are, we can reach out to cancer patients, survivors and caregivers, so that no one walks alone. <3

[Ways to help include giving your time and support to charities such as Singapore Cancer Society, Children's Cancer Foundation, or VIVA Foundation for Children with Cancer.]

#938LIVE #bodyandsoul938LIVE"
414646378558039_1220483311307671,"We had the pleasure to work with Mediacorp on their latest documentary, Terror Unmasked. We created their opener, maps sequences, and animated their reenactments for their scripts. Keep a look out for this documentary on Channel NewsAsia, available in all national languages.

Project Credits:
Client: Mediacorp
Produced by: Genesis Motion Design
Art Direction: Benjamin Ang, Riduan Ali
Design: Riduan Ali, Ian Chua, Rachael Lum, Darren Shieh, Yeeshi Wong
Animation: Riduan Ali, Ian Chua, Rachael Lum, Darren Shieh, Yeeshi Wong"
414646378558039_1220467467975922,#sXsturns4: See a different side of your favorite celebs at styleXstyle.com's 4th anniversary photo exhibition held at Scotts Square from now till 30 Oct. You can also bid for your favorite celebrity portrait and all proceeds will go to charity of each celeb's choice. View all celebrity portraits here: http://ow.ly/1eZf305hnAc
414646378558039_1220432647979404,Please give generously and support the beneficiaries of the President's Star Charity this year. Pledge your donations online at www.giving.sg/psc2016 or via the Singtel Dash app.  #PSC2016
414646378558039_1219819828040686,"奇怪, 我一直想在新广戏剧留言,  但没找到。好奇怪?  

新广是怕給观众批评哪还是 ..."
414646378558039_1219051861450816,"Help the less fortunate among us by giving generously today. The hotlines for President's Star Challenge are now open:
1900-112-8821 - For $5 donation
1900-112-8822 - For $20 donation
1900-112-8823 - For $100 donation

You can also donate online at www.giving.sg/psc2016 or via the Singtel Dash app. Thank you for your generosity and support!  #PSC2016"
414646378558039_1217101854979150,
414646378558039_1217017111654291,
414646378558039_1216999088322760,
414646378558039_1216990221656980,
414646378558039_1215782325111103,"Join us in supporting 99%SME, Singapore's nationwide campaign that supports & celebrate local SMEs! Vote now for your favourite #SME and they will each win a S$100,000 advertising grant with us! More info: toggle.sg/99sme #SupportOurSMEs"
414646378558039_1215733898449279,"The Mediacorp Saving Gaia initiative serves to create the awareness of saving mother earth, encouraging more people to be environmentally conscious. Find out more: www.savinggaia.sg"
414646378558039_1214911668531502,"Congratulations to Channel NewsAsia, who won the award for the SEC-Lee Foundation Environmental Media Organisation of the Year for its coverage of green-related content as part of our Mediacorp Saving Gaia initiative! #SavingGaia"
414646378558039_1214678965221439,
414646378558039_1214056408617028,
414646378558039_1213140595375276,"As part of our community outreach efforts, #MediacorpCares recently hosted 34 kids from Students Care Service to catch ""Barney’s Greatest Hits Live on Stage"" show at our #MediacorpCampus. A special meet-and-greet session was also specially organized for the little ones. What a joy it was to see the big smiles on their faces as they got up close and personal with their favourite purple dinosaur!"
