status_id,status_message
15924095923_10153981811190924,Here’s your chance to check out 4 old and rare local films at our libraries http://bit.ly/2eZhvAe
15924095923_10153981817380924,"Ever wondered about the origins of one of Singapore’s main forms of entertainment in our early years? 

Get up-close and personal with street theatre through characters from the epic tales of the Ramayana, Mahabharata and Chinese legends. 

Discover the theatre traditions of ‘wayang kulit’ (shadow puppetry), Chinese street opera and ‘therukoothu’ (Tamil street theatre) through interactive displays at the Central Public Library from now till 19 December 2016. 

See you there!"
15924095923_10153978901005924,"Dear readers, our libraries will be closed from 3pm onwards on 3 Nov for a staff event."
15924095923_10153978419050924,"One of the key highlights in NAS’ new exhibition ‘Law of the Land: Highlights of Singapore’s Constitutional Documents’ is the Rendel Constitution. Named after Sir George Rendel who headed a constitutional review in Singapore between 1953 – 1954, the review prepared Singapore for eventual self-governance and independence.
Find out more by visiting the exhibition at the Chief Justice’s Chamber & Office, National Gallery Singapore. http://bit.ly/2eo9Mgh
Photo credit: Collection of National Archives of Singapore"
15924095923_10153978400075924,Download the NLB mobile app and hone your reading skills now!
15924095923_10153957644020924,Classic fairytales get a quirky twist at Fairytale Trails http://bit.ly/2duAX6e
15924095923_10153957643160924,From 1-room flats to shared toilets: Here’s how  far public housing has come since 1960 http://bit.ly/2ealKIw
15924095923_10153957637855924,"Celebrate Deepavali by learning more about  Singapore’s oldest Hindu shrine, Sri Mariamman Temple http://bit.ly/2dHW96i"
15924095923_10153957634550924,"Seniors, have you grabbed the latest copy of ‘Time of Your Life: Good Reads for the 50plus’ yet? http://bit.ly/2cSiuNq"
15924095923_10153970614640924,130 people are here at AskST@NLB discussing health issues with Senior ST correspondent Salma Khalik!
15924095923_10153957627240924,"Dear readers, our libraries will be closed on 29 Oct for Deepavali."
15924095923_10153957622225924,"Dear readers, please note that all our online resources will be down for maintenance on Oct 28."
15924095923_10153967947795924,"NLB is delighted to receive the Innovation Excellence Award! Organised by SPRING Singapore, the award recognises organisations that have achieved business excellence. 

We couldn’t have achieved this without our staff, partners, volunteers and users, who have contributed to our innovation journey. 

We look forward to working even more closely with the community to encourage all to Read More, Read Widely and Read Together!"
15924095923_10153951632510924,"The Typefaces is about faces in type. It's that simple. Join author Scott Lambert as he shares the inspiration and concept behind this award-winning book. Enjoy an interactive celebration of joy and simplicity for the designer in every child, and the child in every designer. Plus more at the debut exhibition. http://bit.ly/2eeO7r6

About the book:

All 26 roman letters are paired with kooky rhymes in unique flair. The print-on-demand book is featured in the second edition of Phaidon’s seminal A Smile in the Mind and won best in class for printmag.com’s typography awards and two categories in The Drum Design Awards. It was also a finalist at the D&AD Awards, New York Festivals and New York Design Week."
15924095923_10153967275410924,"Discover significant performances, playwrights and prominent theatre companies that shaped the foundation of contemporary theatre in Singapore at NLB’s latest exhibition on Singapore theatre. Held at the Level 7 and 8 Promenade of the National Library Building, it opens to the public today. Opening hours are Mon – Sun, 10am to 9pm.” Join us on 10 Nov, Thursday, 7pm – 8pm, for the first of our monthly curator-led tours of the exhibition.

Admission is free but registration is required. Registration is available at http://www.nlb.gov.sg/golibrary/programme/Tours.aspx on a first come, first served basis. Meeting point is at the National Library Building, Level 7 Promenade."
15924095923_10153929301705924,Here’s the tale of a dictionary that  bridged two races in 19th century Singapore http://bit.ly/2d91Ii5
15924095923_10153957615460924,Croon to the melodious love songs of jazz at library@esplanade http://bit.ly/2dVhF9t
15924095923_10153957614090924,An insight into the women sculptors in Singapore who have redefined the once male-dominated art form http://bit.ly/2dY0GVg
15924095923_10153929304115924,Check out these e-books to squeeze some healthy habits into your hectic lifestyle!  http://bit.ly/2dxVRim
15924095923_10153960304545924,"Register for library programmes, check catalogues to make book reservations and access millions of eBooks and eResources on the go! #readingnationsg Download the app at http://www.nlb.gov.sg/static/nlbmobileguide/"
15924095923_10153960367250924,"NLB launched the enhanced mobile app today. This is part of the National Reading Movement to build a nation of lifelong readers. The new app combines library services with functionalities of a reading app. 

The official launch took place onboard the Northeast Line Train, which was transformed into imaginary reading places, aligned with the themes of mystery, fantasy, self-help and auto-biography. Michelle Martin, NLB Reading Ambassador and radio presenter of 938Live, joined the journey to promote ""reading on the go""! #readingnationsg"
15924095923_10153959784500924,
15924095923_10153959633405924,Some bits from the launch of the library-themed train this morning!
15924095923_10153929306215924,Here’s your chance to find out what augmented and virtual reality is and see how it’s reshaping your life http://bit.ly/2eb68lK
15924095923_10153929304900924,Here’s how a Singapore-born Englishman won over readers with his light-hearted account of 20th century Singapore http://bit.ly/2dxGdUm
15924095923_10153929305360924,"Dear readers, please note that all our online resources will be down for maintenance on Oct 28."
15924095923_10153929302190924,"Dear readers, our libraries will be closed on 29 Oct for Deepavali."
15924095923_10153950442075924,"To learn more about NAS’ new exhibition ‘Law of the Land: Highlights of Singapore’s Constitutional Documents’ held at the National Gallery Singapore, join the special ‘Insight Tours’ led by our exhibition curators at 6.30pm every Friday! Registration is available at http://www.nlb.gov.sg/golibrary/programme/Tours.aspx.

There are also tours on Saturdays and Sundays at 2 pm led by museum docents. Registration for the weekend tours is possible 20 mins prior, at the Tours Desks located at B1, National Gallery. All tours are free of charge and on a first come first served basis."
15924095923_10153917761835924,Reading on the go! #3moredays #librarysg #readingnationsg
15924095923_10153929298350924,Check out these wonderfully weird bookmarks! http://bit.ly/2dOIECK
15924095923_10153948436625924,We are happy to announce that a fourth Smart Work Centre would be opening at the Tampines Regional Library in 2017.
15924095923_10153929301025924,Do you have green fingers? Then head down to Queenstown Public Library to show off your gardening skills http://bit.ly/2e7geYV
15924095923_10153945639700924,
15924095923_10153944716610924,"It’s the launch of New Ideas and we’re celebrating Innovations! Check out what we have put up at your library and embark on a book trail to discover reading and activity suggestions for your zodiac sign in October. 

Be sure to collect this month’s brochure and tell us what new idea you have, by putting up a sticky note on the giant light bulb! #NewIdeas #Innovations #librarysg"
15924095923_10153945546960924,
15924095923_10153945072295924,Check out the ‘Law of the Land’ exhibition at the National Gallery Singapore to find out more interesting facts about Singapore’s constitutional history.
15924095923_10153945045895924,
15924095923_10153929297385924,Get lost in the timeless melodies of Bollywood at library@esplanade! http://bit.ly/2dL2YXJ
15924095923_10153939394980924,"Sir Stamford Raffles’ earliest attempt to introduce a set of Singapore laws and regulations was in 1823. However, did you know that they were considered illegal then, as Raffles did not have the legal authority to enact laws for Singapore?

Find out more about the six regulations set out by Sir Stamford Raffles in the Straits Settlement Records transcribed by NAS’ Citizen Archivists! Now on display at NAS’ new exhibition: ‘Law of the Land: Highlights of Singapore’s Constitutional Documents’.

The pictured regulation has been transcribed on the Citizen Archivist Project here: http://www.nas.gov.sg/citizenarchivist/Documents/Transcribe?collectionId=26&itemId=3380#collection 

Photo credit: “Collection of National Archives of Singapore”"
15924095923_10153939003100924,Head down to Ang Mo Kio Public Library this weekend to see how students revamp Singaporean myths http://bit.ly/2dMfXY0
15924095923_10153917760290924,A new travelling experience coming your way! #1weekmore #librarysg #readingnationsg
15924095923_10153910591370924,"Join The Straits Times Senior Writer, Cheong Suk Wai, as she discusses books reviewed on her column  http://bit.ly/2dEZORS"
15924095923_10153929497950924,"Interested in viewing key archival materials capturing important moments in Singapore’s constitutional history? 

The National Archives of Singapore has put together the first major exhibition titled ‘Law of the Land: Highlights of Singapore’s Constitutional Documents’ that traces our development from 1819 to the present! Held at the historic Chief Justice’s Chamber & Office at the National Gallery Singapore, it opens to the public on Wednesday, 19 October 2016."
15924095923_10153910591105924,Why Gaston Méliès is someone you may not have heard of but should know about. http://bit.ly/2dEWWof
15924095923_10153910590545924,Relieve the good old days as heritage lovers explore Jalan Besar. http://bit.ly/2dGnCWm
15924095923_10153910588425924,#SundayFunday: Join us this weekend as we play games at Serangoon Public Library! http://bit.ly/2duqHdn
15924095923_10153910585505924,"Dear readers, please note that all our online resources will be down for maintenance on Oct 28."
15924095923_10153910584300924,"Blast to the past: Go down memory lane with Singapore in Sepia
http://bit.ly/2dGmUbU"
15924095923_10153910583050924,"Catch the cute yet terrifying ‘Gremlins’ on screen at Choa Chu Kang Public Library this weekend! 

http://bit.ly/2dXq4es"
15924095923_10153922952280924,Join NLB as we show our support for The Purple Parade! The Purple Parade is a movement that supports the inclusion and celebrates the abilities of persons with special needs. It aims to achieve an inclusive society by creating awareness about people with special needs. #librarysg #GoPurpleSG #purpleparadesg
15924095923_10153910559665924,"Dear readers, please take note that our  libraries will be closed on 29 Oct for Deepavali."
15924095923_10153920506125924,Let our volunteers who will be stepping up as gallery guides take you on a nostalgic journey through the Istana Heritage Gallery!
15924095923_10153893030635924,Here’s how a sailor who was on his way home ended up becoming Singapore’s first Japanese resident. http://bit.ly/2dbjuQq
15924095923_10153913360500924,Get ready for a reading journey like no other!  #comingsoon #readingnationsg
15924095923_10153893037765924,Get transported back in time with these nostalgic photos of Singapore. http://bit.ly/1QrIP6m
15924095923_10153893036675924,Tell a tale with words or illustrations and let someone else finish the story in this interactive exhibition.  ttp://bit.ly/2dmiklv
15924095923_10153893036255924,David Marshall used to hold court under an apple tree at Empress Place. But was it really an apple tree? http://bit.ly/2dvgNLm
15924095923_10153893035045924,Learn about the measures to ensure food safety and hygiene in Singapore.  http://bit.ly/2dBpSyv
15924095923_10153893034435924,"PMEs, listen up! Here’s some resources to make your work more manageable. http://bit.ly/2bduyZk"
15924095923_10153893033805924,No plans for the weekend? Then check out this intriguing exhibition at library@orchard! http://bit.ly/2dF8Tyl
15924095923_10153893033125924,Beware! Only horror lovers will understand how frighteningly good these stories are. http://bit.ly/2cXnAZw
15924095923_10153893032160924,Thinking of starting a business? Get some tips here! ttp://bit.ly/2dzbLNU
15924095923_10153893028830924,Can you imagine how would Singapore fare in a world without a common language called standards?  http://bit.ly/2cVKAeI
