status_id,status_message
378167172198277_1537362619612054,"""Pls pls pls don’t make a joke out of this and post this on SGAG k” he said… Btw I think this is the contest he is thinking of joining lol http://bit.ly/2e1mFqN #MayTheOddsBeInHisFavour #BOOMZ"
378167172198277_1538047509543565,It literally just takes a flick of the hand! 😩
378167172198277_1538146902866959,Maybe I should try and see the McDelivery man's reaction trollolololol!!!
378167172198277_1503195569695426,"Macam when you need to make the word count for an essay but you can't think of anything to write. 

Image credit to cursedvibes"
378167172198277_1537164202965229,"In Singapore, majority of us live in *HURRIEDLY DESIGNED BUILDINGS (HDB)*, constantly
*UNDERGOING REMEDIAL ARCHITECTURE (URA)*. We need to *PAY AND PAY (PAP)*. Not only do we have to pay and pay, we  *PAY UNTIL BROKE (PUB)*. Our roads are managed by people who *PURPOSELY WANT to DIG (PWD)*. 

To own a car, we need to 
*CUT ON ENTERTAINMENT (COE)*. Driving on our roads, we can't afford the *EXPENSIVE ROAD POLICY (ERP)*. The expressway is 
 *CONGESTED THROUGHOUT EVERYDAY (CTE)* If you don't own a car, you need to take the *MAD RUSH TRANSPORT (MRT)*, OR take a *SLOW BUS SERVICE (SBS)* which is run by those who require us *NOT TO USE CASH (NTUC)*. Luckily, despite the frequent rail breakdowns, they have the *LET'S TRY AGAIN (LTA)* spirit.  Not to worry in the end, we have  *CASH PROVIDED FUNERAL (CPF)* to leave this world with dignity.

This is the life of a normal *Singaporean!* 

Pass around and make your friends laugh! 😂😂😂"
378167172198277_1516479241700392,Well technically he's not wrong hahahahha!! (Credit to Zaahida)
378167172198277_1514942381854078,HAHAHA good save at the end there bro!
378167172198277_1010096182432744,Got person who using public toilet like this?
378167172198277_1534043769943939,Who else used to wish this school bus existed?
378167172198277_1534702209878095,Whose mother also come out with rubbish logics like this? 😓
378167172198277_1535660423115607,This guy is going as a SAVAGE for this Halloween 😂😂
378167172198277_1535718189776497,Something all non-Hindu Indians would be able to relate to... #deepavali
378167172198277_1535795363102113,YAS I look forward most to the food.. what about you guys!!?
378167172198277_1535705939777722,Happy Deepavali/Diwali to all our Hindu fans on SGAG...
378167172198277_1533290766685906,When your bro understands your needs....
378167172198277_1533295073352142,"Me ❤️ Char Kway Teow, 100%"
378167172198277_1534045853277064,"“Huhhh don’t lah!”
- said EVERY Singaporean ever 😂😂😂"
378167172198277_1534841063197543,"So according to my Indian Nathish, TGIF has a different meaning today... #deepavali"
378167172198277_1514971678517815,"Was at a local restaurant when I saw... #facepalm #english #gavemecancer 

Submitted by brandon.tanch"
378167172198277_1233210520048171,"Guess who always says 
""open your mind...""...?"
378167172198277_659880024182104,"Listen till the end 
Its just 15s 
fastest o level paper in history"
378167172198277_1533289716686011,Time to change car seats I guess..
