status_id,status_message
35780255703_10157655426245704,"From Indian to Peranakan. From $5 local hawker eats to modern innovative fusion. Take your taste buds on a Michelin-starred culinary adventure, right here in Singapore. #VisitSingapore"
35780255703_10157540646455704,"Rice, spice and everything nice. #VisitSingapore"
35780255703_10157671572200704,"Champion of @WTAFinalsSG Dominika Cibulkova strikes a winning pose at Singapore’s historic Clifford Pier, a befitting location for the tennis star who just joined the greats with her first victory in the prestigious season-ender. Congratulate her in the comments!"
35780255703_10157540638990704,Look up to know what’s up! #VisitSingapore
35780255703_10157540634935704,#Yolkporn game real strong here. #VisitSingapore
35780255703_10157636570555704,
35780255703_10157610480900704,✌🏼️million fans. We’ve got something to say. #VisitSingapore
35780255703_10157621559910704,"It’s a star-studded tennis affair at the Merlion Park​ today, with Singapore’s very own icon getting ready for a close-up with the icons of women’s tennis! Who do you think strikes a better pose? WTA Finals Singapore​ #VisitSingapore"
35780255703_10157621076225704,"It’s the moment we’ve all been waiting for – the Public Draw Ceremony happening right now at Marina Bay Sands. Stay tuned to find out the match-ups for 8 days of top tennis action, and share your predictions with us in the comments! WTA Finals Singapore #VisitSingapore"
35780255703_10157620947225704,"Tennis fever has hit Singapore’s shores, with the icons of women’s tennis gathered at the Merlion Park for a close-up with our very own icon. Come see what they’re up to! WTA Finals Singapore #VisitSingapore"
35780255703_10157540630085704,"Colours, colours everywhere. #VisitSingapore"
35780255703_10157540590680704,"Travel, eat, repeat! Crave Singapore cravesingapore.com #VisitSingapore"
35780255703_10157540584125704,Unleash the shopaholic in you #VisitSingapore
35780255703_10157540581880704,Rain or shine - we’ve got a museum for you http://bit.ly/2cP76Tn #VisitSingapore
35780255703_10157540580040704,"This Deepavali, head down to the Little India precinct for a vibrant display of lights! Share with us your best shots with #VisitSingapore"
35780255703_10157546858705704,"One nation, united by one amazing voice. You're still our No. 1, Nathan Hartono #SGPride"
35780255703_10157544892615704,"Here are some of the mighty views you can expect at Singapore Sports Hub & Singapore Indoor Stadium, home of WTA Finals Singapore. Book your tickets now at wtafinals.com/tickets #VisitSingapore"
35780255703_10157541934145704,7 award-winning experiences means 7 more reasons for you to #VisitSingapore. https://www.singaporetourismawards.com/recipients
35780255703_10157499969285704,"One island city, endless possibilities. #VisitSingapore"
35780255703_10157376259330704,We hope you brought your appetite. How many of these food items have you checked off our list? #VisitSingapore
35780255703_10157376267545704,"We know how hard it is to decide what to eat in Singapore, so here’s a little help. Your answer is a click away! #VisitSingapore"
35780255703_10157376242335704,A brilliant sunset against the backdrop of our city is such a sight to behold. #VisitSingapore
35780255703_10157471391810704,Singapore’s one and only night race was an adrenaline-filled affair. Get your heart racing again with these pictures of #SingaporeGP highlights! #VisitSingapore
35780255703_10157471351860704,A girl has a bag. Charles & Keith looks great on you Maisie Williams!
35780255703_10157376235745704,We skipped the iconic landmarks and brought you the unforgettable hidden gems in Singapore. #VisitSingapore
35780255703_10157459096390704,"In #VisitSingapore, fun has no finish line YourSingapore.com #SingaporeGP #F1NightRace"
35780255703_10157458541225704,"23 turns, 5.067km circuit and lit up by 1,600 lighting projectors - there’s nowhere else like Singapore Grand Prix #SingaporeGP #F1NightRace #VisitSingapore"
35780255703_10157458292490704,"Lights, camera, race on! Can you identify these 5 iconic landmarks? #SingaporeGP #F1NightRace #VisitSingapore"
35780255703_10157453765935704,"Tonight, the stars are on the streets. Racing at the speed of light. #SingaporeGP #F1NightRace #VisitSingapore"
35780255703_10157453210375704,"Keep calm & race on! 🏁🐊
#SingaporeGP #F1NightRace #VisitSingapore

Photo credits: chem7/Flickr (modified)"
35780255703_10157452545325704,Word on the circuit is that the weather is hot 🔥 here are some ways to cool down in #VisitSingapore #SingaporeGP #F1NightRace
35780255703_10157449983110704,"Practice may be over, but the night is still young! Gear up for some late-night exploration in the city that never sleeps http://bit.ly/2cd33Pl Singapore Grand Prix #SingaporeGP #F1NightRace #VisitSingapore"
35780255703_10157449396340704,"#VisitSingapore - always a good idea 
#SingaporeGP #F1NightRace"
35780255703_10157448952285704,Pick up Singlish at 300km/h this weekend. #SingaporeGP #RacewithSIA #VisitSingapore
35780255703_10157376188585704,Bask under the full moonlight this #MidAutumnFestival and share a snapshot of your celebration with us for a chance to be featured on our page. Don't forget to hashtag #VisitSingapore
35780255703_10157434981455704,We sure are a child-friendly travel destination 😉 #somuchrunning #VisitSingapore
35780255703_10157376184880704,Have a uniquely Singapore experience by ordering a mug of Beer Gao- a mix of stout and beer with that extra oopmh. Give it a go the next time you’re at a food centre #VisitSingapore
35780255703_10157376172750704,"Look, here are some incredible drone pictures of the iconic landmarks and heartlands in Singapore! We see an octopus and a durian. What do you spot? #VisitSingapore"
35780255703_10157376171095704,"Get your fancy grub at one of these local hawker spots - it’s the perfect place for a sumptuous date with bae, on a budget! #VisitSingapore"
35780255703_10157376145695704,Lush greenery meets architecture in our beautiful Garden City. Is your favourite nature spot in this album? #VisitSingapore
35780255703_10157376130970704,"The untold, humble story of the hawker chef who became the world’s first to earn a Michelin star for street food stall. What a legend. #VisitSingapore"
35780255703_10157376808105704,"Singapore remains a safe travel destination and the World Health Organisation (WHO) has not recommended travel restrictions to Zika affected countries. 

Zika is a mild disease, and the majority of people infected with Zika do not show symptoms. All reported cases of locally transmitted Zika virus infection have recovered or are recovering. 

Singapore has put in place a robust system to mitigate the spread of Zika in the community.  The WHO upholds Singapore's transparency, regime of quick reporting and thorough response in managing the local transmission of Zika as a ""role model"" for other countries.  

The Singapore Tourism Board is working closely with in-market and Singapore travel trade partners to ensure that mitigating measures and communications are in place to allay potential visitor concerns. 

Visitors can refer to the National Environment Agency’s webpage on Zika (www.nea.gov.sg/zika) for the latest updates. Visitors who are pregnant are advised to adopt precautions to prevent being bitten by mosquitoes."
35780255703_10157217669435704,Complete your Singapore experience with 10 budget-friendly activities!
35780255703_10157217668080704,Much of Singapore’s charm lies in its street views. Can you figure out where the photographers stood to snap these photos? #VisitSingapore
35780255703_10157217666565704,"Rev up for the Singapore Grand Prix, happening in less than a month! Here are some highlights from last year to set your heart racing! #VisitSingapore #SingaporeGP"
35780255703_10157217665245704,Secret bars and abandoned buildings… find out about some of these intriguing locations in Singapore. #VisitSingapore
35780255703_10157346658040704,"Hey BuzzFeed UK, what's good? #VisitSingapore"
35780255703_10157314669530704,"Come join us at #SGNightFest's opening weekend & watch the National Museum of Singapore transform into a LED visual masterpiece. #SGNightFest is happening from 19-20 & 26-27 August. For more details, check out http://bit.ly/2aPwM6u #VisitSingapore"
35780255703_10157217663485704,"A 2-day music extravaganza is about to hit our shores, and we’re Ultra excited! #VisitSingapore"
35780255703_10157217658065704,"Do you know your laksa from your nasi padang? Join in the national pastime with this 4-day food itinerary, where we select 12 eateries for you to indulge in local cuisine. Yes, chicken rice included. Get your appetites ready! #VisitSingapore"
35780255703_10157286283735704,"It's not every day that you get to race alongside your hero and we're so proud of Joseph Isaac Schooling for his Olympic record-breaking gold medal win!
Spread our #SGPride & celebrate with us by changing your profile picture to #SG5039. Follow bit.ly/2b0KPE4 for more updates! #VisitSingapore"
35780255703_10157217647845704,"Have you met Singapore’s furry celebrities? Otterly adorable, don’t you think? #VisitSingapore"
35780255703_10157280435750704,5 most photo-worthy places to catch 'em all in #VisitSingapore
35780255703_10157217612915704,"As we look towards Singapore’s 51st year of independence, we reflect on her beauty through different lenses. #VisitSingapore #SG51"
35780255703_10157272591580704,There’s been some serious Pokémon hunting going on around our island. How close are you to catching ‘em all? Take a screenshot and share it with us with #VisitSingapore!
